institute_name,program_name,tests_accepted,test_cutoff,city_name,program_duration,country_name,program_duration_text,final_placements_domestic_salary_avg,specialization_name,state_name,tution_fees_local_country_student 
pimpri chinchwad college of engineering,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 7:NA | 11:NA | ,pune,2,India,2 Years,250000,"Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Agri \/ Food \/ Rural Business, International Business, Entrepreneurship & Family Business",maharashtra,156000
pravara centre for management research and development,master of business administration,"CAT, XAT, CMAT, MAT, MH-CET, ATMA, JMET",1:NA | 2:NA | 3:NA | 4:NA | 7:NA | 11:NA | 18:NA | ,pune,2,India,2 Years,250000,"Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Healthcare \/ Hospital \/ Pharma, Hospitality \/ Tourism, Agri \/ Food \/ Rural Business, International Business, Retail Management, Media & Communication, Digital Media, Entrepreneurship & Family Business",maharashtra,170000
rjspm's institute of computer and management research,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,pune,2,India,2 Years,250000,"Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Agri \/ Food \/ Rural Business, International Business, Entrepreneurship & Family Business",maharashtra,164000
s. r. luthra institute of management,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,surat,2,India,2 Years,250000,"Finance, Marketing, Human Resources",gujarat,152000
sas institute of management studies,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,thane,2,India,2 Years,250000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Strategy",maharashtra,156000
marthoma college of management and technology,master of business administration,"CAT, XAT, CMAT, MAT, KMAT",1:NA | 2:NA | 3:NA | 4:NA | 14:NA | ,perumbavoor,2,India,2 Years,240000,"Finance, Marketing, Human Resources",kerala,200000
,master of business administration,"CAT, XAT, CMAT, MAT",1:NA | 2:NA | 3:NA | 4:NA | ,,2,India,2 Years,240000,"Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",uttar pradesh,194000
viva institute of management and research,master in management studies,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 7:NA | 11:NA | ,thane,2,India,2 Years,240000,"Finance, Marketing, Human Resources",maharashtra,179000
wainganga college of engineering and management,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | ,nagpur,2,India,2 Years,230000,"Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Healthcare \/ Hospital \/ Pharma, Power \/ Energy \/ Oil \/ Gas, Agri \/ Food \/ Rural Business, International Business, Sustainability \/ Environment",maharashtra,164000
progressive education society's institute of management and career development,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, Others, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 7:NA | 10:NA | 11:NA | ,pune,2,India,2 Years,230000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology",maharashtra,136000
,master of business administration,"CAT, CMAT, KMAT",1:NA | 3:NA | 14:NA | ,kottayam,2,India,2 Years,225000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",kerala,144000
sadhu vaswani institute of management studies for girls,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 7:NA | 11:NA | ,pune,2,India,2 Years,223000,"Finance, Marketing, Human Resources",maharashtra,179000
mjrp college of corporate management,master of business administration,CAT,1:NA | ,jaipur,2,India,2 Years,220000,Agri \/ Food \/ Rural Business,rajasthan,120000
phonics school of business administration,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,roorkee,2,India,2 Years,220000,"Finance, Marketing, Information Technology, Human Resources",uttarakhand,108000
dr. sarvapalli radhakrishnan college of business management,master of business administration,"CAT, XAT, CMAT, MAT, Others, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,mumbai,2,India,2 Years,220000,"Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Healthcare \/ Hospital \/ Pharma, Power \/ Energy \/ Oil \/ Gas, International Business",maharashtra,211000
karmaveer dadasaheb kannamwar engineering college,master of business administration,"CAT, MAT, GMAT, MH-CET, ATMA, JMET",1:NA | 4:NA | 5:NA | 7:NA | 11:NA | 18:NA | ,nagpur,2,India,2 Years,210000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",maharashtra,142000
asma institute of management,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,pune,2,India,2 Years,210000,"Marketing, Operations \/ SCM \/ Production, Human Resources, International Business",maharashtra,260000
school of management sciences,post graduate diploma in management,"CAT, XAT, MAT, CMAT",1:NA|2:NA|4:NA|3:NA,varanasi,2,India,2 Years,200000,"Finance, Marketing, Human Resources",uttar pradesh,396000
veltech dr rr and dr sr university,master of business administration,"CAT, MAT, XAT, GMAT",1:NA|4:NA|2:NA|5:NA,chennai,2,India,2 Years,200000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, International Business, Digital Media, Entrepreneurship & Family Business",tamil nadu,160000
intech institute of business management,master of business administration,"CAT, XAT, MAT, ATMA, KMAT",1:NA  | 2:NA  | 4:NA  | 11:NA  | 14:NA  | ,bangalore,2,India,2 Years,200000,"Finance, Marketing, Human Resources",karnataka,120000
dr. ambedkar institute of management studies,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, Others, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 10:NA | 11:NA | ,nagpur,2,India,2 Years,200000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, International Business",maharashtra,191000
sree narayana guru institute of science and technology,master of business administration,"CAT, CMAT, KMAT",1:NA | 3:NA | 14:NA | ,cochin,2,India,2 Years,200000,"Finance, Marketing, Human Resources",kerala,100000
apex institute of management and science college,master of business administration,"CAT, CMAT, MAT, ATMA",1:NA | 3:NA | 4:NA | 11:NA | ,jaipur,2,India,2 Years,200000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",rajasthan,121000
compucom institute of information technology and management,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,jaipur,2,India,2 Years,200000,"Finance, Marketing, Human Resources",rajasthan,110000
green heaven institute of management and research,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,nagpur,2,India,2 Years,200000,"Marketing, Operations \/ SCM \/ Production, Human Resources",maharashtra,168000
smt. radhikabai pandav college of engineering,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,nagpur,2,India,2 Years,200000,"Finance, Marketing, Human Resources",maharashtra,198000
anekant institute of management studies,master of business administration,"CAT, XAT, CMAT, MAT, Others, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 10:NA | 11:NA | ,pune,2,India,2 Years,200000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",maharashtra,174000
audyogik shikshan mandal institute of professional studies,master of business administration,"CAT, XAT, CMAT, MAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 7:NA | 11:NA | ,pune,2,India,2 Years,200000,"Finance, Marketing, Human Resources",maharashtra,160000
camp education society's rasiklal m. dhariwal institute of management,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 7:NA | 11:NA | ,pune,2,India,2 Years,200000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Healthcare \/ Hospital \/ Pharma, Hospitality \/ Tourism, Agri \/ Food \/ Rural Business, International Business, Retail Management, Media & Communication, Digital Media, Entrepreneurship & Family Business",maharashtra,186000
modern institute of business management,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, Others, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 10:NA | 11:NA | ,pune,2,India,2 Years,200000,"Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Healthcare \/ Hospital \/ Pharma, Hospitality \/ Tourism, Agri \/ Food \/ Rural Business, International Business, Retail Management, Media & Communication, Digital Media, Entrepreneurship & Family Business",maharashtra,120000
sankalp business school,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 7:NA | 11:NA | ,pune,2,India,2 Years,200000,"Finance, Marketing, Human Resources",maharashtra,146000
biff and bright college of technical education,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,jaipur,2,India,2 Years,190000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",rajasthan,110000
arihant institute of business management,master of business administration,"CAT, MAT, GMAT, MH-CET",1:NA | 4:NA | 5:NA | 7:NA | ,pune,2,India,2 Years,190000,"Marketing, Operations \/ SCM \/ Production, Human Resources, International Business",maharashtra,152000
jagran institute of management,post graduate diploma in management,"MAT, CAT, XAT",4:NA|1:NA|2:NA,kanpur,2,India,2 Years,180000,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,220000
poona institute of management sciences and entrepreneurship,master of business administration,"CAT, XAT, CMAT, MAT, MH-CET, Others, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 7:NA | 10:NA | 11:NA | ,pune,2,India,2 Years,180000,"Finance, Marketing, Information Technology, Human Resources",maharashtra,200000
shri rgp gujarati professional institute,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,indore,2,India,2 Years,150000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology",madhya pradesh,70000
allana institute of management sciences,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 7:NA | 11:NA | ,pune,2,India,2 Years,150000,"Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",maharashtra,220000
ambedkar institute of management studies,post graduate diploma in business management,"CAT, XAT, MAT, CMAT",1:NA|2:NA|4:NA|3:NA,visakhapatnam,2,India,2 Years,144000,"Marketing, Human Resources, Retail Management",andhra pradesh,110000
the business school,master of business administration,"CAT, MAT",1:50  | 4:NA  | ,Jammu,2,India,2 Years,100000,"Finance, Marketing, Operations \/ SCM \/ Production",jammu and kashmir,45000
institute of business management and technology,master of business administration,"CAT, XAT, Others, ATMA, KMAT",1:NA | 2:NA | 10:NA | 11:NA | 14:NA | ,bangalore,2,India,2 Years,100000,"Finance, Marketing, Human Resources",karnataka,25550
s b jain institute of technology,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | ,nagpur,2,India,2 Years,40000,"Finance, Marketing, Human Resources",maharashtra,196000
s.p. jain institute of management and research,global management program,"CAT, XAT, GMAT, GRE",1:80    | 2:NA    | 5:650    | 6:320    | ,mumbai,1,India,1 Year,0,General Management,maharashtra,650000
university of petroleum and energy studies,master of business administration,"Others, MAT, XAT, CMAT, NMAT, CAT",10:NA|4:NA|2:NA|3:NA|8:NA|1:NA,dehradun,2,India,2 Years,0,Power \/ Energy \/ Oil \/ Gas,uttarakhand,1157000
maeer's mit school of management,master of business administration,"MH-CET, CAT, XAT, MAT, ATMA, JMET",7:NA|1:NA|2:NA|4:NA|11:NA|18:NA,pune,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, International Business",maharashtra,310000
asian school of business management,post graduate diploma in management,"CAT, XAT, MAT",1:NA|4:NA|2:NA,bhubaneswar,2,India,2 Years,0,"Marketing, Information Technology, Human Resources",orissa,596000
globsyn business school,post graduate diploma in management,"CAT, MAT, JMAT, XAT, CMAT",1:50|4:NA|2:NA|18:NA|3:NA,kolkata,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources",west bengal,710000
indira school of business studies,post graduate diploma in management,"CMAT, CAT, XAT, MAT, ATMA, GMAT",3:NA|1:NA|2:NA|4:NA|11:NA|5:NA,pune,2,India,2 Years,0,"Finance, Marketing, Human Resources, General Management",maharashtra,670000
institute of management studies,post graduate diploma in management,"CAT, XAT, MAT, NMAT, ATMA",1:NA  | 2:NA  | 4:NA  | 8:NA  | 11:NA  | ,,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,690000
school of management and entrepreneurship shiv nadar university,master of business administration,"CAT, GMAT, NMAT, XAT, Others",1:NA|5:NA|8:NA|2:NA|10:NA,,2,India,2 Years,0,General Management,uttar pradesh,1000000
department of business administration tezpur university,master of business administration,"CAT, MAT",1:NA|4:NA,tezpur,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",assam,128000
jawaharlal nehru school of management studies assam university,master of business administration,CAT,1:70,silchar,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",assam,100000
school of business kaziranga university,master of business administration,"CAT, MAT, XAT, CMAT, Others",1:NA|4:NA|2:NA|3:NA|10:NA,jorhat,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",assam,460000
nit rourkela school of management,master of business administration,"CAT, MAT, CMAT, XAT",1:NA|4:NA|3:NA|2:NA,Rourkela,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",orissa,566000
pune institute of business management,post graduate diploma in management,"CAT, XAT, MAT, CMAT, ATMA, Others",1:NA|2:NA|4:NA|3:NA|11:NA|10:NA,pune,2,India,2 Years,0,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Business Analytics",maharashtra,645000
iilm graduate school of management,post graduate diploma in management,"CAT, XAT, MAT, CMAT, GMAT",1:NA|2:NA|4:NA|3:NA|5:NA,,2,India,2 Years,0,"Finance, Marketing, Information Technology, Human Resources, General Management",uttar pradesh,810000
