,College Name,GPA,Verbal,Quants,Writing,Cluster
358,Tennessee State University,3.7825,152.5,148.25,4.125,4
359,Texas A&M University - Spring 2013,3.31,140,162,4.5,0
360,Texas A&M University Bush School,3.563333333,164.6666667,154.6666667,4.333333333,2
361,"Texas A&M University, College Station (TAMU)",3.561044776,157.7761194,162.0597015,3.873134328,3
362,"Texas A&M University, Kingsville (TAMU)",3.395,146.5,152.5,3,4
363,Texas Christian University,3.676,155,154,4.6,1
364,Texas State University,3.658888889,155.7777778,151.2222222,4.166666667,1
365,Texas Tech University,3.574137931,154.8965517,157.2413793,3.74137931,1
366,Texas Womans University,3.71,154.2,150.4,4.5,4
367,The Catholic University Of America,3.96,156.5,163,4,3
368,The Chinese University Of Hong Kong,3.66,154,157.5,3,1
369,"The La Follette School Of Public Affairs, University Of Wisconsin-Madison",3.4,150,166,3.5,0
370,The New School,3.372,161.8,156.6,4.1,2
371,"The Ohio State University, Fisher College Of Business",3.87,154,165,4,0
372,The Pennsylvania State University(PSU-Park),3.88,168,159,4,2
373,"The University Of Texas School Of Public Health,houston",3.89,162,166,3.5,3
374,Thomas Jefferson University,3.3325,161.5,157,4.25,2
375,Tilburg University,3.643333333,157.3333333,163,4.166666667,3
376,Touro University,3.49,163,150,4,2
377,Towson University,3.760285714,156.2,152.9714286,4.457142857,1
378,Trent University,3.11,161,155,5.5,2
379,Truman State University,3.45,154.6666667,149,4.166666667,4
380,Tsinghua University,2.766,156,165.5,4.25,3
381,Tufts University,3.621764706,163.0735294,159.2941176,4.625,3
382,Tulane University,3.324615385,157.3076923,154,3.884615385,1
383,U Of Penn,3.81,159,167,3.5,3
384,UBC Okanagan,3.9,165,161,5.5,3
385,UCF Florida Institute Of Emerging Arts,3.3,158,161,4,3
386,UCIII Madrid,3.1,152,160,4,0
387,UCLA (Luskin),3.75,167,153,4.5,2
388,UCLA Luskin,3.75,166,161,4.5,3
389,UCLA Luskin School Of Public Affairs,3.56,168,154,4.5,2
390,UCLA School Of Public Health,3.895,162.5,161.5,4.25,3
391,UCSB (Bren School),3.9,156,156,4,1
392,UCSB Bren School,3.53,163.5,163,4.25,3
393,UCSD IRPS,3.52,154,163,3.5,0
394,UIUC UT AUSTIN,3.64,152,170,3.5,0
395,UMKC,2.82,155,160,4,0
396,"UMich, Ann Arbor/ Univ Of Michigan",3.75,163,168,3.5,3
397,UNC School Of Public Health,3.3,155,155,4,1
398,"UNC- Chapel Hill, University Of Virginia, JMU, Northwestern, Boston U, Emerson",3.98,166,161,4.5,3
399,UNIVERSITY OF MINNESOTA- TWIN CITY,4,154,168,3.5,0
400,UNMC,0.5,131,130,1.5,4
401,UPenn GSE,3.7,166,156,4,2
402,UPenn Graduate School Of Education,3.2,154,154,4,1
403,UPenn SP2,3.55,151,164,3.5,0
404,UPitt,3.93,167,163,5.5,3
405,URI Graduate School Of Oceanography,3.3,149,151,3,4
406,USC Davis School Of Gerontology,3.94,158,149,3,1
407,USC Price,3.615,164,157.5,5.25,2
408,USC Price School Of Public Policy,3.2,161,164,3,3
409,"USC Price School Of Public Policy, University Of Southern California",3.4,150,166,3.5,0
410,USC Roski,3.94,166,151,4.5,2
411,USC Rossier School Of Education,3.95,163,150,4,2
412,USC School Of Arch,3.01,151,158,4,0
413,USC Sol Price School,3.4,161.5,160,4.75,3
414,UVA Batten,3.9,162,156,4,2
415,Union Theological Seminary,3.955,168.25,152.5,4.625,2
416,"Univ Of Washington, Univ. Of Maryland, Northeastern Univ.",3.5,163,162,4.5,3
417,Univ Toronto,3.04,165,166,2,3
418,Univeristy Of Minnesota Duluth,3.08,159,164,4,3
419,Univeristy Of Texas Pan-American,3.05,150,139,4,4
420,Universitat Autonoma De Barcelona,3.75,170,156,3,2
421,University At Albany School Of Public Health,3,152,154,4,1
422,University College Dublin,3.3,165,164,4.5,3
423,University College London,3.631428571,160.0285714,161.0285714,4.357142857,3
424,University Of Akron,3.733809524,153.7142857,150.5714286,4.261904762,4
425,"University Of Alabama, Birmingham",3.336,155.8,153.4,3.9,1
426,"University Of Alabama, Huntsville",3.366666667,160,154.3333333,3.666666667,1
427,"University Of Alabama, Tuscaloosa",3.766538462,155.1538462,152.1923077,4.096153846,1
428,University Of Alaska Fairbanks,3.205,159,159,3.75,3
429,University Of Alaska- Anchorage,4,160,155,5,1
430,University Of Alberta,3.607285714,155.0714286,162.9047619,3.75,0
431,University Of Amsterdam,3.425,151,163,3.75,0
432,University Of Arizona,3.603963636,159.9818182,155.3454545,4.436363636,1
433,University Of Arkansas,3.654285714,152.2857143,149.7142857,4.071428571,4
434,"University Of Arkansas, Fayetteville",3.684545455,155.2727273,151.6363636,4.045454545,1
435,University Of Austin At Texas,3.52,152,170,3,0
436,"University Of Binghamton , SUNY",3.48,153,168,3.5,0
437,University Of Birmingham,4,163,152,5,2
438,University Of Bologna,2.7,149,164,3,0
439,University Of Bonn,1.604,154,168,3,0
440,University Of Bristol,3.3875,157,155,3.75,1
441,University Of British Columbia,3.185,154.5,164.5,3.5,0
442,University Of British Columbia (UBC),3.691038961,159.7402597,162.4805195,4.058441558,3
443,University Of Calgary,3.683636364,156.9090909,161.3181818,3.954545455,3
444,University Of California - Merced (UCM),3.5,134,163,3,0
445,University Of California Santa Barbara (UCSB) Bren School Of Environmental Science And Management,3.89,169,164,5.5,3
446,University Of California Sol Price School Of Public Policy,3.52,162,158,5,2
447,"University Of California, Berkeley (UCB)",3.693043478,161.0144928,162.4710145,4.514492754,3
448,"University Of California, Davis (UCD)",3.560967742,159.0967742,161.1612903,4.209677419,3
449,"University Of California, Irvine (UCI)",3.421494253,157.4597701,161.0114943,3.913793103,3
450,"University Of California, Los Angeles (UCLA)",3.66023913,160.0326087,160.6050725,4.244565217,3
451,"University Of California, Riverside",3.48,164,166,3.5,3
452,"University Of California, Riverside (UCR)",3.436153846,155.6923077,160.1538462,3.807692308,3
453,"University Of California, San Diego (UCSD)",3.659892308,159.2692308,163.4307692,4.107692308,3
454,"University Of California, Santa Barbara (UCSB)",3.617083333,159.875,162,3.770833333,3
